NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects)
No NIH Category available.,Address;Adopted;anatomical tracing;Anatomy;Animals;Architecture;Autopsy;base;Behavior;Behavioral;Biological Markers;Biophysics;blood oxygen level dependent;Blood Vessels;Brain;Cervical spine;Data;Detection;Disease;Electrophysiology (science);Evaluation;Exhibits;Foundations;Frequencies;gray matter;high resolution imaging;Histologic;Histology;Horns;Human;human subject;imaging biomarker;independent component analysis;Injury;insight;Intervention;Investigation;Knowledge;Magnetic Resonance;Maintenance;Maps;Measurable;Measurement;Measures;Methods;Modeling;Monkeys;Motivation;Nature;Nerve Block;neural circuit;Neurons;nonhuman primate;novel strategies;Pathologic;Patients;Pattern;Pharmacology;Physiology;Play;Population;Primates;programs;public health relevance;Recovery;relating to nervous system;Reporting;Reproducibility;Research;Resolution;Rest;Retrieval;Role;Saimiri;Seeds;sensory input;Signal Transduction;Site;Somatosensory Cortex;Spinal;Spinal Cord;Spinal Cord Diseases;Spinal cord grey matter structure;Spinal cord injury;Spinal Injuries;Stimulus;Structure;Surface;Time;Treatment Efficacy;Variant;Vertebral column;,Resting State Connectivity in Primate Spinal Cord,PUBLIC HEALTH RELEVANCE: The discovery that functional MRI can detect synchronized; spontaneous variations in neural activity within the various horns of the spine suggests these are important for understanding functional connectivity and the functional architecture of the cord. Changes within these circuits may be useful biomarkers of the changes that occur with injury or after intervention. The studies proposed will use a non-human primate model of spinal injury to better understand the nature of these circuits and how fMRI signals in a resting state are related to electrophysiology; anatomic connectivity and functional integrity.,NINDS,9626970,14-Jan-19,PA-13-302,5R01NS092961-05,5,R01,NS,92961,5,,"JAKEMAN, LYN B",15-Feb-16,31-Jan-21,Medical Imaging Study Section (MEDI) ,,10923967,"GORE, JOHN C ","CHEN, LI MIN ",5,Unavailable,79917897,US,,,10040927,VANDERBILT UNIVERSITY MEDICAL CENTER,NASHVILLE,TN,Independent Hospitals,37232-0011,UNITED STATES, ,1-Feb-19,31-Jan-20,853,Research Projects,2019,NINDS,331780,185126,516906,
No NIH Category available.,Alzheimer's Disease;Amyloid;Anatomy;Apolipoprotein E;Architecture;Autopsy;Basic Science;Binding;Biological;Brain;Cessation of life;Clinical;clinical heterogeneity;Cognition;Cognitive;cognitive neuroscience;cognitive task;cohort;Cross-Sectional Studies;Data;Data Set;Dementia;Deposition;Development;Diagnosis;Differential Diagnosis;Disease;Enrollment;Frontotemporal Lobar Degenerations;Functional disorder;Genetic;Goals;gray matter;Handedness;Image;improved;in vivo;Individual;Inferior;Inferior frontal gyrus;insight;International;Knowledge;Language;Language Disorders;Learning Disabilities;Left;Life;Ligands;Link;Longitudinal Studies;Magnetic Resonance Imaging;Measures;Medical Genetics;Molecular;Molecular Diagnosis;Molecular Disease;molecular subtypes;Multivariate Analysis;Names;Nerve Degeneration;network architecture;neural network;Neurodegenerative Disorders;neuroimaging;novel;novel imaging technique;Orthography;Paper;Parietal;Participant;Pathologic;Pathway interactions;patient population;Patients;Pattern;Peer Review;phonology;Population;Positron-Emission Tomography;Primary Progressive Aphasia;Probability;Production;programs;Publications;Publishing;Recording of previous events;recruit;Rehabilitation therapy;relating to nervous system;Research;Rest;Sampling;Scientist;Semantics;Severities;Speech;Symptoms;Syndrome;syntax;tau Proteins;Techniques;theories;Time;Tracer;Training;Variant;white matter;Work;,Primary Progressive Aphasia: Cognition; Anatomy and Progression,PROJECT NARRATIVEThis research program focuses on Primary Progressive Aphasia (PPA); a debilitating and fatalneurodegenerative disorder that manifests with speech and language symptoms. In this project; we willcombine cognitive; neuroimaging and biological data from a large PPA cohort with the goal of improvingdifferential diagnosis and ultimately treatment of this devastating disorder.PHS 398/2590 (Rev. 06/09) Page Continuation Format Page,NINDS,9638594,24-Jan-19,PA-16-160,5R01NS050915-15,5,R01,NS,50915,15,,"BABCOCK, DEBRA J",15-Jul-04,31-Jan-22,Language and Communication Study Section (LCOM) ,,7596237,"GORNO TEMPINI, MARIA LUISA ",Not Applicable,12,NEUROLOGY,94878337,US,37.78689,-122.448998,577508,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",SAN FRANCISCO,CA,SCHOOLS OF MEDICINE,94118-6215,UNITED STATES, ,1-Feb-19,31-Jan-20,853,Research Projects,2019,NIA,85974,50295,136269,
No NIH Category available.,Alzheimer's Disease;Amyloid;Anatomy;Apolipoprotein E;Architecture;Autopsy;Basic Science;Binding;Biological;Brain;Cessation of life;Clinical;clinical heterogeneity;Cognition;Cognitive;cognitive neuroscience;cognitive task;cohort;Cross-Sectional Studies;Data;Data Set;Dementia;Deposition;Development;Diagnosis;Differential Diagnosis;Disease;Enrollment;Frontotemporal Lobar Degenerations;Functional disorder;Genetic;Goals;gray matter;Handedness;Image;improved;in vivo;Individual;Inferior;Inferior frontal gyrus;insight;International;Knowledge;Language;Language Disorders;Learning Disabilities;Left;Life;Ligands;Link;Longitudinal Studies;Magnetic Resonance Imaging;Measures;Medical Genetics;Molecular;Molecular Diagnosis;Molecular Disease;molecular subtypes;Multivariate Analysis;Names;Nerve Degeneration;network architecture;neural network;Neurodegenerative Disorders;neuroimaging;novel;novel imaging technique;Orthography;Paper;Parietal;Participant;Pathologic;Pathway interactions;patient population;Patients;Pattern;Peer Review;phonology;Population;Positron-Emission Tomography;Primary Progressive Aphasia;Probability;Production;programs;Publications;Publishing;Recording of previous events;recruit;Rehabilitation therapy;relating to nervous system;Research;Rest;Sampling;Scientist;Semantics;Severities;Speech;Symptoms;Syndrome;syntax;tau Proteins;Techniques;theories;Time;Tracer;Training;Variant;white matter;Work;,Primary Progressive Aphasia: Cognition; Anatomy and Progression,PROJECT NARRATIVEThis research program focuses on Primary Progressive Aphasia (PPA); a debilitating and fatalneurodegenerative disorder that manifests with speech and language symptoms. In this project; we willcombine cognitive; neuroimaging and biological data from a large PPA cohort with the goal of improvingdifferential diagnosis and ultimately treatment of this devastating disorder.PHS 398/2590 (Rev. 06/09) Page Continuation Format Page,NINDS,9638594,24-Jan-19,PA-16-160,5R01NS050915-15,5,R01,NS,50915,15,,"BABCOCK, DEBRA J",15-Jul-04,31-Jan-22,Language and Communication Study Section (LCOM) ,,7596237,"GORNO TEMPINI, MARIA LUISA ",Not Applicable,12,NEUROLOGY,94878337,US,37.78689,-122.448998,577508,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",SAN FRANCISCO,CA,SCHOOLS OF MEDICINE,94118-6215,UNITED STATES, ,1-Feb-19,31-Jan-20,853,Research Projects,2019,NINDS,408917,239216,648133,
No NIH Category available.,Animal Behavior;Behavior;Biochemistry;Brain;Cell Survival;cell type;Cells;Characteristics;Chronic;Clinical;Deep Brain Stimulation;Devices;Disease;Disease Progression;dopaminergic neuron;Electric Stimulation;Electrophysiology (science);Engineering;experimental study;Genetic Transcription;Goals;Growth Factor;Health;Human;Implanted Electrodes;in vivo;innovation;interdisciplinary approach;Intervention;Link;Measures;Methods;Modality;Motor;Nerve Degeneration;Nervous system structure;neurochemistry;Neurodegenerative Disorders;Neurologic;Neurons;neuroprotection;neuroregulation;optogenetics;Parkinson Disease;pars compacta;Patients;prevent;Research;resilience;Rodent;Rodent Model;Role;Signal Transduction;Study models;Substantia nigra structure;successful intervention;temporal measurement;Testing;TimeLine;tool;Training;,Neuromodulation and Neurodegeneration: the Missing Link and Mechanisms of Action,Although neurodegenerative disorders take a great toll in the US and worldwide there is currently noproven way to prevent; arrest; or slow down the course of the disease. Our goal is to identify candidate circuitsthat can be modulated in vivo to increase our understanding of neuroprotective capabilities of circuit activityand growth factors. The results of these studies could inform key intervention modalities and timelines to slowdown the progression of neurodegenerative disease.,NINDS,9829274,29-Nov-18,RFA-RM-12-016,3DP2NS087949-02S1,3,DP2,NS,87949,2,S1,"SIEBER, BETH-ANNE",27-Nov-18,30-Jun-19,Special Emphasis Panel (ZRG1-MOSS-C (56)R),,11610157,"GRADINARU, VIVIANA ",Not Applicable,27,NONE,9584210,US,34.134337,-118.126525,1073501,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,91125-0001,UNITED STATES, ,27-Nov-18,30-Jun-19,853,Research Projects,2019,NINDS,648873,431501,1080374,
No NIH Category available.,Absence of pain sensation;Accounting;Adult;Adverse effects;Analgesics;Anatomy;Animal Behavior;Attenuated;attenuation;Brain;Brain Stem;cell type;Cells;Chemosensitization;Chronic inflammatory pain;chronic pain;chronic painful condition;Data;designer receptors exclusively activated by designer drugs;Development;Disinhibition;Dissection;Electric Stimulation;Excision;excitatory neuron;Exhibits;Expenditure;experience;Fellowship;Fiber;gamma-Aminobutyric Acid;Genetic;Glutamates;Goals;Hyperalgesia;Hypersensitivity;in vivo;Inflammation;inflammatory pain;information processing;inhibitory neuron;Injections;insight;intersectionality;Left;Maintenance;Mechanics;Mediating;midbrain central gray substance;Modality;Modeling;Molecular;mouse model;multidisciplinary;neural circuit;Neuronal Plasticity;Neurons;neurotransmission;new therapeutic target;Nociception;novel;novel therapeutics;optogenetics;Output;Pain;Pain management;pain model;Pathway interactions;Patient Care;Persistent pain;Pharmacological Treatment;Pharmacology;Play;Population;Process;Property;Regulation;relating to nervous system;Research;Role;Sensory;Sensory Thresholds;Signal Transduction;Specificity;Spinal;Spinal cord posterior horn;spontaneous pain;Stimulus;Synaptic Transmission;System;Techniques;Testing;Thermal Hyperalgesias;Training;transmission process;United States;,GENETIC DISSECTION OF BRAINSTEM CIRCUITS AND THEIR ROLE IN PERSISTENT INFLAMMATORY PAIN,PROJECT NARRATIVEIt has been estimated that 100 million adults suffer from chronic pain in the United States; accounting for anexpenditure of approximately 600 billion dollars in pain related patient care. Pharmacology and electricalstimulation have partially described the role of the ventrolateral periaqueductal gray (vlPAG) in descendingpain modulation; but due to the lack of cell-type specificity; the identity and definitive role of the neuronsresponsible for stimulation-produced analgesia remains unclear. The goal of this research is to acquire aprecise understanding of vlPAG to rostromedial ventral medulla (RVM) circuitry and the mechanism by whichdifferent vlPAG neuronal subpopulations can modulate inflammatory pain; providing novel insight that can helpthe development of new therapies for chronic inflammatory pain.,NINDS,9608676,8-Jan-19,PA-16-308,5F31NS103472-02,5,F31,NS,103472,2,,"OSHINSKY, MICHAEL L",1-Dec-17,30-Nov-19,Special Emphasis Panel (ZRG1-F02B-D (20)L),,10741412,"GRAJALES REYES, JOSE G",Not Applicable,1,ANESTHESIOLOGY,68552207,US,38.647241,-90.300814,9083901,WASHINGTON UNIVERSITY,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,63130-4862,UNITED STATES, ,1-Dec-18,30-Nov-19,853,Training; Individual,2019,NINDS,31070,,31070,
No NIH Category available.,5 year old;adeno-associated viral vector;Adolescent;Affect;Age of Onset;Animal Model;Animals;beta-n-acetylhexosaminidase;Biochemical;Biodistribution;Biological Markers;biomarker identification;Blood;Blood - brain barrier anatomy;Body Size;Brain;brain size;Bypass;Capsid;cellular transduction;Child;Clinical;clinical effect;Clinical Trials;Consult;Cystic Fibrosis;Data;Defect;Development;Diffusion Magnetic Resonance Imaging;Disease;disease heterogeneity;Disease Progression;effective therapy;Electroencephalography;Ensure;Enzymes;Exhibits;experience;experimental study;Felis catus;Frequencies;Functional Magnetic Resonance Imaging;Future;G(M2) Ganglioside;Gangliosidoses GM2;Gastric Feeding Tubes;Gene Delivery;gene therapy;gene transfer vector;Generations;Glycosphingolipids;Goals;Gold;Hemophilia A;Human;improved;Industry Standard;infancy;Injections;Instruction;Intravenous;intravenous injection;Isoenzymes;K-Series Research Career Programs;Knockout Mice;Live Birth;Longevity;Lysosomal Storage Diseases;Magnetic Resonance Imaging;Magnetic Resonance Spectroscopy;Mentors;metabolomics;Methods;Modality;Modeling;Monitor;mouse model;Mus;Natural History;Nerve Degeneration;Nervous system structure;Neurodegenerative Disorders;Neurologic;Neuropathy;Neurosciences;novel;Onset of illness;Palliative Care;Patients;Peripheral;Prevalence;Production;Quality of life;Reporting;Research;Research Personnel;Residual state;Route;Safety;Sandhoff Disease;Scientist;Sheep;Side;success;Symptoms;Tay-Sachs Disease;Techniques;Testing;Thalamic structure;Therapeutic;Tissues;Training;translational neuroscience;United States National Institutes of Health;Validation;vector;Vegetative States;Viral;Viral Genes;Viral Vector;virtual;Work;,Global AAV gene therapy of Tay-Sachs disease in sheep.,PROJECT NARRATIVEFirst reported in 1881; Tay-Sachs and Sandhoff disease are lysosomal storage disorders usually fatal by 5years of age after a long period of neurodegeneration leading to a semi-vegetative state. Though no treatmentexists currently; AAV gene therapy in mouse and larger animal models has proven effective; justifying thepursuit of human clinical trials. The current application builds upon previous work to develop a second-generation gene therapy approach that bypasses invasive brain injections; while effectively spreading therapyacross the largest brain size tested thus far; which is ~¼ the size of a human child.,NINDS,9605800,28-Nov-18,PA-14-046,7K08NS096219-03,7,K08,NS,96219,3,,"MORRIS, JILL A",1-Dec-16,30-Nov-21,NST-1 Subcommittee (NST-1) ,,11216876,"GRAY-EDWARDS, HEATHER L",Not Applicable,2,RADIATION-DIAGNOSTIC/ONCOLOGY,603847393,US,42.277722,-71.759339,850903,UNIV OF MASSACHUSETTS MED SCH WORCESTER,WORCESTER,MA,SCHOOLS OF MEDICINE,01655-0002,UNITED STATES, ,1-Dec-18,30-Nov-19,853,Other Research-Related,2019,NINDS,175371,14030,189401,
No NIH Category available.,Actins;Adult;Age;Aging;aging brain;Alzheimer's Disease;Alzheimer's disease model;Amyloid beta-Protein;Appearance;Astrocytes;Back;Behavior;Brain;brain cell;Brain Diseases;cell type;Cells;Clinical;Clinical Trials;Cognition;Cytoskeleton;Dendritic Spines;density;Development;Disease;Disease Progression;drug withdrawal;Endothelial Cells;Expression Profiling;functional outcomes;Gene Expression;Gene Expression Profile;Health;Homeostasis;improved;Inflammation;inhibitor/antagonist;Injury;juvenile animal;Long-Term Potentiation;macrophage;Macrophage Colony-Stimulating Factor Receptor;Microglia;Modeling;Morphology;mouse model;Mus;Myelogenous;Myeloid Cells;neurogenesis;neuroinflammation;Neurons;novel;Nucleosomes;Oligodendroglia;Pathology;Pericytes;Phagocytes;Phenotype;Proliferating;Property;Recovery of Function;Reporting;response;restoration;Route;Signal Transduction;Source;Stains;Stream;Synapses;Synaptic plasticity;Therapeutic;Time;Tissues;transcriptome;transcriptome sequencing;white matter;Withdrawal;Work;,Origins; properties; and therapeutic potential of cells that repopulate the microglia-depleted adult brain,Project Narrative:Our prior work has resulted in the ability to eliminate all microglia from the brain; via clinically utilized CSF1Rinhibitors; and to then repopulate the microglia-depleted brain with new cells that become a new microglial tissue;following CSF1R inhibitor withdrawal. We have identified 2 separate routes of microglial repopulation ? a rapid?regular? repopulation that occurs from surviving microglia and unidentified brain-wide proliferating cells; and aslower ?alternative? repopulation that occurs from unidentified cells appearing at specific brain niches along therostral migratory stream and associated projecting axonal tracts; that resemble microglia that first accumulatethere in post-natal development. We will identify the cellular sources of both of these repopulation routes; andexplore the consequences of filling the brain with ?alternative? microglia on brain homeostasis and progressionof Alzheimer's disease; additionally; we will explore the mechanism by which repopulation rejuvenates the agedbrain and fully restores long-term potentiation to that of a young animal.,NINDS,9596877,25-Jan-19,PA-16-160,2R01NS083801-06,2,R01,NS,83801,6,,"CORRIVEAU, RODERICK A",15-Feb-14,31-Jan-24,Clinical Neuroimmunology and Brain Tumors Study Section (CNBT) ,,10391520,"GREEN, KIM  ","WOOD, MARCELO ANDRES",45,OTHER BASIC SCIENCES,46705849,US,33.678042,-117.773718,577504,UNIVERSITY OF CALIFORNIA-IRVINE,IRVINE,CA,SCHOOLS OF ARTS AND SCIENCES,92617-3213,UNITED STATES, ,1-Feb-19,31-Jan-20,853,Research Projects,2019,NINDS,250000,123512,373512,
No NIH Category available.,alpha synuclein;Animal Model;base;Cell model;Cells;Cellular Stress;Cessation of life;Chronic;Data;design;Development;Disease;Disease model;Disease Progression;Distal;dopaminergic neuron;drug development;early onset;Event;Exposure to;follow-up;Functional disorder;Genetic;Genetic Transcription;Goals;Human;innovation;Lead;loss of function;Modeling;Molecular;Mus;Nerve Degeneration;Neurites;neuron loss;Neurons;neuroprotection;novel strategies;Outcome Study;Oxidative Stress;parkin gene/protein;parkin protein;Parkinson Disease;Pathologic;Pathway interactions;Patients;Pharmaceutical Preparations;Phenotype;Proteins;reduce symptoms;Regulatory Pathway;Research;Role;Scheme;Site;Stress;success;synuclein;targeted treatment;Testing;Therapeutic;Therapeutic Intervention;transcription factor;Trauma;ubiquitin-protein ligase;,Neuron death in Parkinson's disease: The role of Trib3,The studies proposed in this project seek to understand how elevated levels of the protein Trib3 contribute tothe degeneration and death of dopaminergic neurons that occurs in Parkinson's disease and to assess meansto block either Trib3 elevation or its destructive actions in this disorder. Success of these studies has a realisticpotential for development of drugs that inhibit the progressive degeneration and loss of neurons in Parkinson'sdisease.,NINDS,9614337,2-Jan-19,PA-16-160,5R01NS072050-07,5,R01,NS,72050,7,,"SUTHERLAND, MARGARET L",1-Jun-12,31-Dec-22,Neural Oxidative Metabolism and Death Study Section (NOMD) ,,1878367,"GREENE, LLOYD A",Not Applicable,13,PATHOLOGY,621889815,US,40.841253,-73.940404,1833205,COLUMBIA UNIVERSITY HEALTH SCIENCES,NEW YORK,NY,SCHOOLS OF MEDICINE,10032-0049,UNITED STATES, ,1-Jan-19,31-Dec-19,853,Research Projects,2019,NINDS,244617,146770,391387,
No NIH Category available.,Affect;Biological Assay;Brain;Brain Diseases;Chronic;Code;comparative efficacy;Complex;Cortical Dysplasia;Data;Defect;design;Development;Disease;Down-Regulation;Drug Targeting;effective therapy;Epilepsy;excitotoxicity;experimental study;Frequencies;Future;Genetic;Genetic Models;Goals;Health;Human;Hyperactive behavior;Impairment;improved;In Vitro;in vivo;Individual;innovation;insight;Intractable Epilepsy;Kainic Acid;Knock-out;Knockout Mice;Knowledge;Kv4 channel;Lead;Luciferases;Mediating;Membrane;Messenger RNA;MicroRNAs;mind control;Mission;Molecular;mouse model;Multiprotein Complexes;Mus;neuronal excitability;Neurons;new therapeutic target;novel;novel therapeutics;Pathologic;Pathology;Pharmaceutical Preparations;Physiological;Pilocarpine;Pilot Projects;Potassium;Potassium Channel;Predisposition;prevent;Process;protein complex;protein expression;Proteins;Public Health;public health relevance;Reporter;Reporting;Research;Research Project Grants;RNA;Rodent Model;Role;Seizures;Severities;Signal Transduction;Specificity;Status Epilepticus;Testing;Therapeutic;therapeutic evaluation;therapeutic target;therapy development;Translations;transmission process;treatment strategy;United States National Institutes of Health;Up-Regulation;Work;,MicroRNA-mediated silencing of the Kv4.2 complex in epilepsy,PUBLIC HEALTH RELEVANCE: This research is relevant to public health because it will explore an intrinsic mechanism of the brain to control neuronal excitability as a novel therapeutictarget for epilepsy. The analysis of how the A-type current mediating protein complex in the brain; a neuronal gate keeper of signal transmission; is regulated by specific microRNAs will provide important insight into the pathology of epilepsy; and might ultimately pave the way for novel therapeutic strategies. Therefore; this research is in line with NIH's mission to improve health; because it will generate fundamental knowledge about the molecular mechanisms regulating neuronal excitability in the brain; and may facilitate future therapy development.,NINDS,9605298,5-Dec-18,PA-13-302,5R01NS092705-04,5,R01,NS,92705,4,,"WHITTEMORE, VICKY R",15-Mar-16,31-Dec-20,Special Emphasis Panel (ZRG1-BDCN-L (02)M),,10290767,"GROSS, CHRISTINA ",Not Applicable,1,Unavailable,71284913,US,39.140882,-84.500494,615001,CINCINNATI CHILDRENS HOSP MED CTR,CINCINNATI,OH,Independent Hospitals,45229-3039,UNITED STATES, ,1-Jan-19,31-Dec-19,853,Research Projects,2019,NINDS,218750,122500,341250,
No NIH Category available.,Action Potentials;Acute;Affect;base;Biological Factors;Chronic Inflammatory Demyelinating Polyneuropathy;cold temperature;density;Diabetic Neuropathies;Electrophysiology (science);Ensure;Esthesia;Family;Fiber;Frequencies;Functional disorder;Genes;Goals;Hodgkin-Huxley model;Immunochemistry;Impairment;improved;In Situ;insight;Intervention;Ion Channel;knock-down;Knowledge;Mammals;Mediating;Modeling;Molecular;Motor;motor disorder;Multiple Sclerosis;Myelinated nerve fiber;nervous system disorder;Neural Conduction;Neuraxis;Neurons;novel;Numbness;Pain;Paralysed;patch clamp;Pathologic;Pharmacology;Physiological;Play;Potassium Channel;Property;Public Health;Ranvier's Nodes;Rattus;Research;response;Role;Secure;Sensory;Sensory Disorders;signal processing;somatosensory;Speed;Techniques;Temperature;Testing;Time;tool;voltage;Voltage-Gated Potassium Channel;,Ion channels and their functions at the node of Ranvier of mammalian somatosensory afferent fibers,The proposed research will elucidate key ion channels that secure saltatory conduction at mammalian nodes ofRanvier; which is highly relevant to public health because it will provide new and important insights intoneurological diseases with impaired saltatory conduction at the node of Ranvier. Impaired saltatory conductionleads to severe sensory disorders such as numbness and pain; as well as motor dysfunctions such asparalysis. By identifying key ion channels that secure saltatory conduction; the proposed research may alsoprovide new implications in treating sensory and motor disorders in neurological diseases.,NINDS,9639564,26-Dec-18,PA-18-484,1R01NS109059-01,1,R01,NS,109059,1,,"GNADT, JAMES W",1-Jan-19,31-Dec-23,Special Emphasis Panel (ZRG1-IFCN-N (80)),,2282457,"GU, JIANGUO ",Not Applicable,7,ANESTHESIOLOGY,63690705,US,33.506935,-86.809252,1288803,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,SCHOOLS OF MEDICINE,35294-0001,UNITED STATES, ,1-Jan-19,31-Dec-19,853,Research Projects,2019,NINDS,299247,145135,444382,
No NIH Category available.,9 year old;Accounting;Acute;Adolescence;Adult;Age;age effect;age related;Age-Years;Anemia;Award;base;Blood;Blood Transfusion;Brain;Brain region;brain tissue;career development;Cell physiology;Cerebrovascular Circulation;Cerebrum;Child;Childhood;Childhood stroke;congenital heart disorder;Consumption;Data;Dependence;Development;experimental study;Financial compensation;follow-up;Functional disorder;Goals;Growth and Development function;Hemoglobin;high risk;high risk population;Human;Image;indexing;Individual;individualized medicine;Injury;innovation;Knowledge;Life;Magnetic Resonance Imaging;Measurement;Measures;Metabolic;metabolic abnormality assessment;metabolic rate;Metabolic stress;Metabolism;Methods;Minor;Modeling;Morbidity - disease rate;mortality;novel;Oxygen;Pediatric Research;Population;Positron-Emission Tomography;predictive modeling;Predictive Value;Process;Radiation;Radiation exposure;Research;Research Personnel;response;risk mitigation;Scanning;Severity of illness;Sickle Cell Anemia;Stress;Stroke;stroke incidence;stroke risk;stroke therapy;Structure;Techniques;Testing;Therapeutic Intervention;Tissues;Transfusion;Variant;Vascular Diseases;white matter;,Age-Dependence of Cerebral Oxygen Metabolism and Stroke Risk in Pediatric Sickle Cell Disease,Project NarrativePediatric stroke is a leading cause of morbidity and mortality in children. The changing oxygendemands of the brain throughout childhood may render children more vulnerable to stroke whendemands are highest. This project uses novel; non-invasive MRI techniques to determine howage influences oxygen use and stroke risk in children with sickle cell disease; who are at aparticularly high risk for pediatric strokes.,NINDS,9616314,21-Nov-18,PA-14-049,5K23NS099472-03,5,K23,NS,99472,3,,"HARTMAN, ADAM L",1-Jan-17,31-Dec-21,NST-1 Subcommittee (NST-1) ,,11985693,"GUILLIAMS, KRISTIN ",Not Applicable,1,NEUROLOGY,68552207,US,38.647241,-90.300814,9083901,WASHINGTON UNIVERSITY,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,63130-4862,UNITED STATES, ,1-Jan-19,31-Dec-19,853,Other Research-Related,2019,NINDS,163221,13058,176279,
No NIH Category available.,,Closed-loop Brain Stimulation for Motor Recovery Post Stroke,n/a,NINDS,9825983,13-Dec-18,PA-16-193,4R00NS097620-03,4,R00,NS,97620,3,,"CHEN, DAOFEN",15-Dec-17,30-Nov-21,NST-2 Subcommittee (NST-2) ,,14228365,"GULATI, TANUJ ",Not Applicable,28,Unavailable,75307785,US,34.076546,-118.380008,1225501,CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA,Independent Hospitals,90048-1804,UNITED STATES, ,15-Dec-18,30-Nov-19,853,Other Research-Related,2019,NINDS,203080,45919,248999,
No NIH Category available.,"Adult;Affect;Aneurysm;Animal Model;Architecture;BCAR1 gene;Bioinformatics;Biological;Biological Models;Biological Process;Blood flow;Blood Vessels;Brain hemorrhage;Candidate Disease Gene;candidate identification;Cell Adhesion;Cell Line;Cell model;cell motility;cell type;Cellular Morphology;Cerebrovascular system;clinically relevant;Complex;CRISPR/Cas technology;Cytoskeleton;Diagnostic;Disease;Elements;Embryo;Endothelial Cells;Etiology;Event;Fatal Outcome;Focal Adhesions;follow-up;Functional disorder;Future;G-Protein-Coupled Receptors;Gene Dosage;Gene Expression;Genes;Genetic;genetic analysis;genetic approach;genetic architecture;genetic manipulation;genetic risk factor;Genetic study;Genetic Transcription;Genetic Variation;genome editing;genome wide association study;Genomics;GTP-Binding Protein alpha Subunits, Gs;Health;hemodynamics;Homeostasis;Human;Image;improved;Intracranial Aneurysm;intracranial artery;Intracranial Hemorrhages;knock-down;Left;Long-Term Care;Mediating;Meta-Analysis;Methods;Molecular;Molecular Genetics;Morbidity - disease rate;Morphology;mortality;mouse model;Mus;Nature;Neurologic Deficit;Nucleic Acid Regulatory Sequences;Orthologous Gene;Outcome;Pathogenesis;Pathway interactions;Patients;Permeability;Phosphorylation;Physiology;Platelet Factor 4;Play;Predisposition;prognostic;Public Health;Regulation;Research;response;Risk;risk variant;Role;Rupture;Series;shear stress;Signal Transduction;Single Nucleotide Polymorphism Map;Smooth Muscle Myocytes;src-Family Kinases;Stress;Stroke;Structure;Subarachnoid Hemorrhage;Survivors;targeted treatment;Testing;Therapeutic;three dimensional structure;Untranslated RNA;Validation;vascular abnormality;Vascular Endothelial Cell;Vascular Permeabilities;Vascular Smooth Muscle;vasoconstriction;Zebrafish;",Functional Validation of Intracranial Aneurysm Risk Genes,Intracranial aneurysms are balloon-like vascular dilations of the intracranial arteries that rupture leading tohemorrhagic stroke with catastrophic; often fatal; outcomes. The genetic architecture of intracranial aneurysm is complex. In the last decade; we have conducted genetic studies that identified a number of candidate genes that confer susceptibility to intracranial aneurysm formation. Our proposal will use cellular and animal models to investigate the contributions of these candidate genes to aneurysm formation. The proposed research is relevant to public health because understanding the mechanisms of aneurysm formation and validating their genomic architecture will provide the necessary background to develop targeted therapeutic approaches in future studies.,NINDS,9762462,29-Jan-19,PA-18-484,1R01NS111935-01,1,R01,NS,111935,1,,"KOENIG, JAMES I",1-Feb-19,31-Jan-24,Special Emphasis Panel (ZRG1-MDCN-M (91)S),,6486322,"GUNEL, MURAT  ","LOUVI, ANGELIKI ;MISHRA, KETU ",3,NEUROSURGERY,43207562,US,41.303164,-72.931644,9420201,YALE UNIVERSITY,NEW HAVEN,CT,SCHOOLS OF MEDICINE,06520-8327,UNITED STATES, ,1-Feb-19,31-Jan-20,853,Research Projects,2019,NINDS,362953,228287,591240,
